team,fielders_used,defensive_efficiency,errors,fielding_percentage,Rtot,year
ATL,39,.721,115,.981,50,1969
BAL,30,.743,101,.984,114,1969
BOS,40,.700,157,.975,-2,1969
CAL,45,.716,136,.978,25,1969
CHC,39,.700,136,.979,-11,1969
CHW,43,.698,122,.981,-18,1969
CIN,33,.700,168,.973,-14,1969
CLE,40,.704,145,.976,-46,1969
DET,33,.721,130,.979,32,1969
HOU,36,.683,153,.975,-72,1969
KCR,39,.713,157,.975,-14,1969
LAD,35,.713,126,.980,20,1969
MIN,35,.709,150,.977,18,1969
MON,42,.684,184,.971,-53,1969
NYM,35,.729,122,.980,53,1969
NYY,37,.729,131,.979,44,1969
OAK,38,.720,137,.978,40,1969
PHI,33,.685,136,.978,-70,1969
PIT,35,.686,155,.975,-1,1969
SDP,42,.694,156,.975,-33,1969
SEP,52,.691,167,.974,-81,1969
SFG,36,.705,169,.974,-16,1969
STL,42,.711,138,.978,-5,1969
WSA,36,.720,140,.978,30,1969
ATL,37,.699,141,.977,-14,1970
BAL,32,.723,117,.981,59,1970
BOS,40,.700,156,.974,13,1970
CAL,39,.727,127,.980,58,1970
CHC,41,.696,137,.978,-10,1970
CHW,42,.684,165,.975,-67,1970
CIN,33,.706,151,.976,29,1970
CLE,36,.706,133,.979,8,1970
DET,35,.692,133,.978,-55,1970
HOU,37,.688,140,.978,-62,1970
KCR,38,.711,152,.976,2,1970
LAD,37,.714,135,.978,43,1970
MIL,45,.707,136,.978,-35,1970
MIN,35,.714,123,.980,53,1970
MON,38,.697,141,.977,22,1970
NYM,34,.721,124,.979,44,1970
NYY,34,.718,130,.980,25,1970
OAK,39,.728,141,.977,40,1970
PHI,39,.687,114,.981,-71,1970
PIT,38,.692,137,.979,32,1970
SDP,37,.690,158,.975,-26,1970
SFG,38,.686,170,.973,-91,1970
STL,45,.686,150,.977,-77,1970
WSA,39,.716,116,.982,42,1970
ATL,35,.694,146,.977,-55,1971
BAL,31,.729,112,.981,54,1971
BOS,36,.703,116,.981,16,1971
CAL,35,.728,131,.980,19,1971
CHC,41,.696,126,.980,-42,1971
CHW,36,.701,160,.975,-48,1971
CIN,34,.727,103,.984,55,1971
CLE,37,.712,116,.981,-13,1971
DET,38,.710,106,.983,-8,1971
HOU,35,.715,106,.983,-3,1971
KCR,35,.713,132,.979,1,1971
LAD,33,.709,131,.979,-1,1971
MIL,42,.718,138,.977,40,1971
MIN,36,.704,118,.980,-32,1971
MON,33,.698,150,.976,4,1971
NYM,34,.717,114,.981,4,1971
NYY,36,.719,125,.981,0,1971
OAK,39,.730,117,.981,45,1971
PHI,35,.713,122,.981,7,1971
PIT,33,.703,133,.979,15,1971
SDP,38,.699,161,.974,-41,1971
SFG,37,.716,179,.972,-1,1971
STL,43,.689,142,.978,-63,1971
WSA,39,.707,141,.977,-28,1971
ATL,36,.701,156,.974,-38,1972
BAL,32,.740,100,.983,78,1972
BOS,37,.699,130,.978,-43,1972
CAL,38,.727,114,.981,8,1972
CHC,39,.707,132,.979,-25,1972
CHW,40,.704,135,.977,-65,1972
CIN,31,.719,110,.982,53,1972
CLE,36,.727,116,.981,48,1972
DET,43,.719,96,.984,8,1972
HOU,32,.695,116,.980,-66,1972
KCR,34,.707,116,.981,-16,1972
LAD,36,.721,162,.974,9,1972
MIL,35,.718,139,.977,30,1972
MIN,33,.725,159,.974,59,1972
MON,30,.708,134,.978,23,1972
NYM,34,.710,116,.980,-54,1972
NYY,35,.713,134,.978,-3,1972
OAK,45,.732,130,.979,50,1972
PHI,38,.705,116,.981,-3,1972
PIT,32,.712,136,.978,17,1972
SDP,40,.696,144,.976,-67,1972
SFG,36,.713,156,.974,-4,1972
STL,47,.702,141,.977,-27,1972
TEX,38,.703,166,.972,-26,1972
ATL,43,.700,166,.974,-5,1973
BAL,33,.731,119,.981,119,1973
BOS,31,.709,127,.979,57,1973
CAL,40,.699,156,.975,-49,1973
CHC,35,.687,157,.975,-45,1973
CHW,38,.690,144,.977,-69,1973
CIN,36,.718,115,.982,46,1973
CLE,35,.691,139,.978,-54,1973
DET,38,.698,112,.982,-19,1973
HOU,39,.707,116,.981,0,1973
KCR,39,.683,167,.974,-55,1973
LAD,31,.729,125,.981,58,1973
MIL,35,.702,145,.977,0,1973
MIN,32,.696,139,.978,-19,1973
MON,39,.708,163,.974,38,1973
NYM,38,.708,126,.980,-2,1973
NYY,35,.708,156,.976,14,1973
OAK,38,.726,137,.978,84,1973
PHI,35,.693,134,.979,-11,1973
PIT,35,.698,151,.976,-19,1973
SDP,32,.693,170,.973,-50,1973
SFG,32,.705,163,.974,-9,1973
STL,46,.707,159,.975,21,1973
TEX,41,.683,161,.974,-83,1973
ATL,36,.720,132,.979,67,1974
BAL,31,.716,128,.980,44,1974
BOS,36,.702,145,.977,46,1974
CAL,45,.698,147,.976,-26,1974
CHC,38,.672,199,.969,-139,1974
CHW,39,.693,147,.977,-39,1974
CIN,35,.714,134,.979,59,1974
CLE,44,.714,146,.977,37,1974
DET,35,.698,158,.975,-26,1974
HOU,34,.709,113,.982,7,1974
KCR,32,.698,152,.976,-25,1974
LAD,34,.720,157,.975,37,1974
MIL,36,.709,127,.980,19,1974
MIN,31,.691,151,.976,-20,1974
MON,41,.706,153,.976,34,1974
NYM,37,.694,158,.975,-67,1974
NYY,43,.701,142,.977,22,1974
OAK,36,.715,141,.977,38,1974
PHI,40,.697,148,.976,17,1974
PIT,39,.705,162,.975,-13,1974
SDP,43,.681,170,.973,-91,1974
SFG,34,.703,175,.972,-3,1974
STL,42,.706,147,.977,30,1974
TEX,37,.693,163,.974,-29,1974
ATL,38,.685,175,.972,-85,1975
BAL,33,.731,107,.983,80,1975
BOS,36,.704,139,.977,67,1975
CAL,47,.692,184,.971,-50,1975
CHC,39,.673,179,.972,-83,1975
CHW,41,.691,140,.978,-40,1975
CIN,29,.717,102,.984,61,1975
CLE,40,.707,134,.978,-7,1975
DET,36,.683,173,.972,-58,1975
HOU,32,.697,137,.979,-21,1975
KCR,32,.700,155,.976,15,1975
LAD,35,.737,127,.979,84,1975
MIL,36,.696,180,.971,-41,1975
MIN,34,.701,170,.973,2,1975
MON,38,.695,180,.973,9,1975
NYM,36,.702,151,.976,0,1975
NYY,37,.710,135,.978,40,1975
OAK,40,.726,143,.977,42,1975
PHI,37,.706,152,.976,40,1975
PIT,34,.716,151,.976,34,1975
SDP,38,.694,188,.971,-42,1975
SFG,37,.694,146,.976,-49,1975
STL,43,.694,171,.973,-34,1975
TEX,39,.695,191,.971,-13,1975
ATL,42,.691,167,.973,-97,1976
BAL,37,.714,118,.982,15,1976
BOS,32,.701,141,.978,22,1976
CAL,41,.707,150,.977,2,1976
CHC,38,.692,140,.978,-41,1976
CHW,41,.693,130,.979,-46,1976
CIN,29,.708,102,.984,7,1976
CLE,34,.696,121,.980,-28,1976
DET,32,.696,168,.974,-37,1976
HOU,36,.709,140,.978,-6,1976
KCR,36,.716,139,.978,40,1976
LAD,36,.723,128,.980,61,1976
MIL,41,.705,152,.975,-6,1976
MIN,30,.697,172,.973,16,1976
MON,47,.691,155,.976,-22,1976
NYM,37,.716,131,.979,11,1976
NYY,39,.729,126,.980,96,1976
OAK,34,.710,144,.977,-13,1976
PHI,32,.705,115,.981,29,1976
PIT,31,.706,163,.975,13,1976
SDP,36,.713,141,.978,20,1976
SFG,36,.691,186,.971,-61,1976
STL,40,.700,174,.973,-6,1976
TEX,36,.699,156,.976,-2,1976
ATL,41,.677,175,.972,-138,1977
BAL,38,.711,106,.983,40,1977
BOS,36,.688,133,.978,19,1977
CAL,43,.698,147,.976,-30,1977
CHC,35,.686,153,.977,-45,1977
CHW,44,.682,159,.974,-95,1977
CIN,37,.701,95,.984,-1,1977
CLE,33,.700,130,.979,-8,1977
DET,36,.697,142,.978,-15,1977
HOU,37,.706,142,.978,20,1977
KCR,33,.708,137,.978,31,1977
LAD,37,.707,124,.981,11,1977
MIL,36,.701,139,.978,-2,1977
MIN,35,.690,144,.978,-6,1977
MON,37,.710,129,.980,27,1977
NYM,40,.702,134,.978,-6,1977
NYY,35,.714,132,.979,44,1977
OAK,40,.694,190,.970,-20,1977
PHI,35,.700,120,.981,62,1977
PIT,35,.711,145,.977,47,1977
SDP,34,.684,189,.971,-29,1977
SEA,43,.698,147,.976,4,1977
SFG,32,.685,179,.972,-26,1977
STL,40,.707,139,.978,34,1977
TEX,42,.710,117,.982,62,1977
TOR,36,.686,164,.974,-35,1977
ATL,42,.703,153,.975,-55,1978
BAL,33,.716,110,.982,36,1978
BOS,31,.698,146,.977,10,1978
CAL,31,.707,136,.978,-28,1978
CHC,38,.699,144,.978,-16,1978
CHW,43,.710,139,.977,-10,1978
CIN,34,.697,134,.978,-30,1978
CLE,34,.703,123,.980,-20,1978
DET,33,.712,118,.981,19,1978
HOU,39,.707,133,.978,-45,1978
KCR,37,.718,150,.976,54,1978
LAD,37,.710,140,.978,4,1978
MIL,35,.710,150,.977,24,1978
MIN,33,.700,146,.977,10,1978
MON,36,.718,134,.979,72,1978
NYM,36,.700,132,.979,-20,1978
NYY,40,.723,113,.982,47,1978
OAK,45,.701,179,.971,-39,1978
PHI,37,.716,104,.983,78,1978
PIT,35,.703,167,.973,-33,1978
SDP,38,.699,160,.975,-35,1978
SEA,34,.696,141,.978,-37,1978
SFG,33,.705,146,.977,-31,1978
STL,39,.712,136,.978,-14,1978
TEX,36,.702,153,.976,18,1978
TOR,34,.690,131,.979,-16,1978
ATL,38,.684,183,.970,-86,1979
BAL,34,.727,125,.980,74,1979
BOS,34,.696,142,.977,37,1979
CAL,37,.695,135,.978,-51,1979
CHC,35,.680,159,.975,-48,1979
CHW,44,.708,173,.972,12,1979
CIN,34,.704,124,.980,6,1979
CLE,33,.693,134,.978,-38,1979
DET,40,.705,120,.981,-6,1979
HOU,40,.719,138,.978,34,1979
KCR,37,.711,146,.977,35,1979
LAD,35,.703,118,.981,-35,1979
MIL,31,.702,127,.980,6,1979
MIN,34,.681,134,.979,-3,1979
MON,33,.711,131,.979,30,1979
NYM,39,.697,140,.978,-33,1979
NYY,47,.701,122,.981,23,1979
OAK,33,.678,174,.972,-115,1979
PHI,38,.703,106,.983,54,1979
PIT,31,.706,134,.979,6,1979
SDP,35,.701,141,.978,15,1979
SEA,33,.690,141,.978,-7,1979
SFG,36,.688,163,.974,-70,1979
STL,37,.708,132,.980,21,1979
TEX,38,.714,130,.979,58,1979
TOR,37,.694,159,.975,12,1979
ATL,32,.710,162,.975,16,1980
BAL,34,.709,95,.985,28,1980
BOS,41,.686,149,.977,9,1980
CAL,40,.690,134,.978,-64,1980
CHC,34,.680,174,.974,-52,1980
CHW,38,.699,171,.973,-12,1980
CIN,33,.710,106,.983,2,1980
CLE,32,.689,105,.983,-46,1980
DET,34,.704,133,.979,-20,1980
HOU,32,.703,140,.978,-6,1980
KCR,36,.707,141,.978,22,1980
LAD,33,.715,123,.981,22,1980
MIL,32,.702,147,.977,25,1980
MIN,36,.692,148,.977,37,1980
MON,37,.698,144,.977,-8,1980
NYM,40,.692,154,.975,-30,1980
NYY,39,.699,138,.978,-14,1980
OAK,31,.727,130,.979,99,1980
PHI,39,.701,136,.979,4,1980
PIT,35,.701,137,.978,27,1980
SDP,36,.699,132,.980,5,1980
SEA,33,.693,149,.977,-11,1980
SFG,38,.694,159,.975,-36,1980
STL,41,.703,122,.981,24,1980
TEX,40,.676,147,.977,-88,1980
TOR,37,.697,133,.979,14,1980
ATL,39,.707,102,.976,-3,1981
BAL,34,.710,68,.983,-4,1981
BOS,32,.703,91,.979,5,1981
CAL,37,.710,101,.977,-2,1981
CHC,38,.686,113,.974,-66,1981
CHW,33,.709,87,.979,-4,1981
CIN,31,.717,80,.981,-2,1981
CLE,33,.679,87,.978,-56,1981
DET,34,.740,67,.984,62,1981
HOU,37,.721,87,.980,17,1981
KCR,35,.716,72,.982,6,1981
LAD,37,.711,87,.980,-5,1981
MIL,32,.705,79,.982,3,1981
MIN,37,.693,96,.978,-19,1981
MON,43,.715,81,.980,29,1981
NYM,38,.699,130,.968,-26,1981
NYY,38,.721,72,.982,21,1981
OAK,39,.732,81,.980,57,1981
PHI,36,.692,86,.980,-31,1981
PIT,36,.696,86,.979,-27,1981
SDP,33,.695,102,.977,-22,1981
SEA,37,.695,91,.979,-16,1981
SFG,35,.701,102,.977,-22,1981
STL,34,.715,82,.981,31,1981
TEX,36,.725,69,.984,37,1981
TOR,35,.713,105,.975,5,1981
ATL,37,.695,137,.979,-32,1982
BAL,32,.719,101,.984,42,1982
BOS,33,.690,121,.981,1,1982
CAL,36,.712,108,.983,50,1982
CHC,37,.695,132,.979,-29,1982
CHW,37,.688,154,.976,-44,1982
CIN,33,.692,128,.980,-55,1982
CLE,36,.704,123,.980,-21,1982
DET,38,.725,117,.981,77,1982
HOU,37,.705,136,.978,-13,1982
KCR,39,.716,127,.979,36,1982
LAD,36,.709,139,.979,2,1982
MIL,32,.703,125,.980,16,1982
MIN,39,.707,108,.982,55,1982
MON,39,.708,122,.980,3,1982
NYM,39,.688,175,.972,-69,1982
NYY,45,.690,128,.979,-71,1982
OAK,41,.706,160,.974,4,1982
PHI,36,.693,121,.981,-12,1982
PIT,43,.697,145,.977,-2,1982
SDP,38,.725,152,.976,55,1982
SEA,39,.701,139,.978,4,1982
SFG,37,.688,173,.973,-70,1982
STL,33,.710,124,.981,53,1982
TEX,39,.690,121,.981,-32,1982
TOR,34,.709,136,.978,23,1982
ATL,40,.698,137,.978,-16,1983
BAL,36,.705,121,.981,6,1983
BOS,31,.689,130,.979,-12,1983
CAL,39,.683,154,.977,-46,1983
CHC,42,.690,115,.982,-25,1983
CHW,39,.712,120,.981,44,1983
CIN,35,.708,114,.981,22,1983
CLE,39,.687,122,.980,-50,1983
DET,37,.726,125,.980,80,1983
HOU,33,.718,147,.977,34,1983
KCR,37,.697,165,.974,-25,1983
LAD,40,.702,168,.974,-22,1983
MIL,36,.703,113,.982,-14,1983
MIN,35,.691,121,.980,14,1983
MON,39,.706,116,.981,40,1983
NYM,39,.708,151,.976,5,1983
NYY,39,.696,139,.978,-39,1983
OAK,42,.704,157,.974,6,1983
PHI,43,.685,152,.976,-59,1983
PIT,37,.697,115,.982,-12,1983
SDP,41,.714,129,.979,27,1983
SEA,40,.687,136,.978,-32,1983
SFG,40,.696,171,.973,-35,1983
STL,42,.699,152,.976,4,1983
TEX,37,.709,113,.982,45,1983
TOR,33,.706,115,.981,43,1983
ATL,37,.703,139,.978,2,1984
BAL,35,.715,123,.981,59,1984
BOS,33,.684,143,.977,-25,1984
CAL,36,.697,128,.980,3,1984
CHC,40,.690,121,.981,-18,1984
CHW,38,.710,122,.981,11,1984
CIN,43,.697,139,.977,-52,1984
CLE,40,.694,146,.977,-7,1984
DET,35,.713,127,.979,52,1984
HOU,35,.702,133,.979,-20,1984
KCR,35,.711,131,.979,62,1984
LAD,37,.688,163,.975,-26,1984
MIL,36,.689,136,.978,-35,1984
MIN,37,.714,120,.980,106,1984
MON,43,.710,132,.978,40,1984
NYM,40,.694,129,.979,-22,1984
NYY,41,.684,142,.977,-39,1984
OAK,37,.692,146,.975,-24,1984
PHI,39,.698,161,.975,-15,1984
PIT,36,.705,128,.980,28,1984
SDP,31,.721,138,.978,32,1984
SEA,40,.683,128,.979,-45,1984
SFG,39,.676,173,.973,-108,1984
STL,41,.698,118,.982,14,1984
TEX,34,.701,138,.977,-25,1984
TOR,33,.705,123,.980,29,1984
ATL,33,.691,159,.976,-28,1985
BAL,37,.698,129,.979,-17,1985
BOS,36,.690,145,.977,-7,1985
CAL,41,.710,112,.982,38,1985
CHC,40,.697,134,.979,-24,1985
CHW,40,.702,111,.982,1,1985
CIN,37,.713,122,.980,14,1985
CLE,37,.692,141,.977,-48,1985
DET,36,.717,143,.977,37,1985
HOU,38,.701,152,.976,-29,1985
KCR,33,.701,127,.980,-4,1985
LAD,40,.713,166,.974,12,1985
MIL,39,.698,142,.977,-33,1985
MIN,36,.703,120,.980,39,1985
MON,44,.712,121,.981,7,1985
NYM,38,.716,115,.982,2,1985
NYY,38,.709,126,.979,27,1985
OAK,36,.711,140,.977,-6,1985
PHI,37,.696,139,.978,-41,1985
PIT,43,.695,133,.979,-31,1985
SDP,32,.714,124,.980,13,1985
SEA,40,.698,122,.980,-26,1985
SFG,35,.705,148,.976,-43,1985
STL,37,.718,108,.983,50,1985
TEX,42,.695,120,.980,-16,1985
TOR,38,.724,125,.980,71,1985
ATL,36,.684,141,.978,-48,1986
BAL,41,.696,135,.978,-9,1986
BOS,38,.686,129,.979,-2,1986
CAL,38,.715,107,.983,68,1986
CHC,39,.678,124,.980,-63,1986
CHW,46,.712,117,.981,64,1986
CIN,33,.695,140,.978,-24,1986
CLE,35,.695,157,.975,-44,1986
DET,40,.719,108,.982,58,1986
HOU,40,.721,130,.979,29,1986
KCR,34,.700,123,.980,11,1986
LAD,38,.683,181,.971,-69,1986
MIL,39,.687,146,.976,-55,1986
MIN,37,.682,118,.980,-24,1986
MON,43,.703,133,.979,-18,1986
NYM,36,.709,138,.978,8,1986
NYY,43,.703,127,.979,-4,1986
OAK,44,.716,135,.978,37,1986
PHI,42,.693,137,.978,-21,1986
PIT,39,.703,143,.978,29,1986
SDP,39,.702,137,.978,-35,1986
SEA,39,.670,156,.975,-89,1986
SFG,39,.717,143,.977,64,1986
STL,38,.720,123,.981,94,1986
TEX,37,.702,122,.980,-1,1986
TOR,36,.700,100,.984,12,1986
ATL,38,.690,116,.982,-41,1987
BAL,41,.696,111,.982,-9,1987
BOS,33,.674,110,.982,-13,1987
CAL,37,.704,117,.981,38,1987
CHC,36,.677,130,.979,-78,1987
CHW,36,.714,116,.981,98,1987
CIN,37,.696,130,.979,-10,1987
CLE,43,.690,153,.975,-48,1987
DET,37,.705,122,.980,9,1987
HOU,43,.697,116,.981,-25,1987
KCR,35,.693,131,.979,-11,1987
LAD,48,.687,155,.975,-48,1987
MIL,35,.679,145,.976,-43,1987
MIN,35,.700,98,.984,13,1987
MON,41,.695,147,.976,-19,1987
NYM,37,.696,137,.978,-22,1987
NYY,47,.703,102,.983,21,1987
OAK,45,.695,142,.977,-18,1987
PHI,38,.704,121,.980,13,1987
PIT,48,.711,123,.980,66,1987
